CODIGO_PAIS,Nº_MIGRANTES,CONTINENTE,COMUNA
21,11,América del Norte,La Granja
21,7,América del Norte,La Pintana
21,99,América del Norte,La Reina
21,528,América del Norte,Las Condes
21,471,América del Norte,Lo Barnechea
21,8,América del Norte,Lo Espejo
21,5,América del Norte,Lo Prado
21,20,América del Norte,Macul
21,64,América del Norte,Maipú
21,183,América del Norte,Ñuñoa
21,12,América del Norte,Pedro Aguirre Cerda
21,72,América del Norte,Peñalolén
21,278,América del Norte,Providencia
21,28,América del Norte,Pudahuel
21,18,América del Norte,Quilicura
21,17,América del Norte,Quinta Normal
21,30,América del Norte,Recoleta
21,8,América del Norte,Renca
21,7,América del Norte,San Joaquín
21,40,América del Norte,San Miguel
21,2,América del Norte,San Ramón
21,249,América del Norte,Vitacura
21,31,América del Norte,Puente Alto
21,7,América del Norte,Pirque
21,11,América del Norte,San José de Maipo
21,114,América del Norte,Colina
21,22,América del Norte,Lampa
21,4,América del Norte,Tiltil
21,27,América del Norte,San Bernardo
21,21,América del Norte,Buin
21,6,América del Norte,Calera de Tango
21,8,América del Norte,Paine
21,14,América del Norte,Melipilla
21,11,América del Norte,Curacaví
21,1,América del Norte,María Pinto
21,19,América del Norte,Talagante
21,4,América del Norte,El Monte
21,10,América del Norte,Isla de Maipo
21,13,América del Norte,Padre Hurtado
21,9,América del Norte,Peñaflor
32,1395,Argentina,Santiago
32,79,Argentina,Cerrillos
32,160,Argentina,Cerro Navia
32,168,Argentina,Conchalí
32,135,Argentina,El Bosque
32,285,Argentina,Estación Central
32,496,Argentina,Huechuraba
32,215,Argentina,Independencia
32,170,Argentina,La Cisterna
32,613,Argentina,La Florida
32,121,Argentina,La Granja
32,176,Argentina,La Pintana
32,359,Argentina,La Reina
32,3731,Argentina,Las Condes
32,1461,Argentina,Lo Barnechea
32,106,Argentina,Lo Espejo
32,101,Argentina,Lo Prado
32,244,Argentina,Macul
32,487,Argentina,Maipú
32,1177,Argentina,Ñuñoa
32,92,Argentina,Pedro Aguirre Cerda
32,476,Argentina,Peñalolén
32,1339,Argentina,Providencia
32,278,Argentina,Pudahuel
32,345,Argentina,Quilicura
32,160,Argentina,Quinta Normal
32,288,Argentina,Recoleta
32,142,Argentina,Renca
32,152,Argentina,San Joaquín
32,269,Argentina,San Miguel
32,68,Argentina,San Ramón
32,1099,Argentina,Vitacura
32,529,Argentina,Puente Alto
32,42,Argentina,Pirque
32,23,Argentina,San José de Maipo
32,1358,Argentina,Colina
32,260,Argentina,Lampa
32,38,Argentina,Tiltil
32,346,Argentina,San Bernardo
32,117,Argentina,Buin
32,43,Argentina,Calera de Tango
32,88,Argentina,Paine
32,140,Argentina,Melipilla
32,10,Argentina,Alhué
32,62,Argentina,Curacaví
32,20,Argentina,María Pinto
32,11,Argentina,San Pedro
32,67,Argentina,Talagante
32,18,Argentina,El Monte
32,48,Argentina,Isla de Maipo
32,79,Argentina,Padre Hurtado
32,108,Argentina,Peñaflor
68,2897,Bolivia,Santiago
68,251,Bolivia,Cerrillos
68,318,Bolivia,Cerro Navia
68,589,Bolivia,Conchalí
68,253,Bolivia,El Bosque
68,1161,Bolivia,Estación Central
68,249,Bolivia,Huechuraba
68,868,Bolivia,Independencia
68,247,Bolivia,La Cisterna
68,572,Bolivia,La Florida
68,144,Bolivia,La Granja
68,235,Bolivia,La Pintana
68,176,Bolivia,La Reina
68,561,Bolivia,Las Condes
68,381,Bolivia,Lo Barnechea
68,108,Bolivia,Lo Espejo
68,328,Bolivia,Lo Prado
68,196,Bolivia,Macul
68,514,Bolivia,Maipú
68,339,Bolivia,Ñuñoa
68,158,Bolivia,Pedro Aguirre Cerda
68,414,Bolivia,Peñalolén
68,249,Bolivia,Providencia
68,436,Bolivia,Pudahuel
68,439,Bolivia,Quilicura
68,391,Bolivia,Quinta Normal
68,2943,Bolivia,Recoleta
68,267,Bolivia,Renca
68,279,Bolivia,San Joaquín
68,348,Bolivia,San Miguel
68,117,Bolivia,San Ramón
68,126,Bolivia,Vitacura
68,510,Bolivia,Puente Alto
68,16,Bolivia,Pirque
68,18,Bolivia,San José de Maipo
68,2915,Bolivia,Colina
68,631,Bolivia,Lampa
68,133,Bolivia,Tiltil
68,261,Bolivia,San Bernardo
68,359,Bolivia,Buin
68,60,Bolivia,Calera de Tango
68,1812,Bolivia,Paine
68,4751,Bolivia,Melipilla
68,343,Bolivia,Alhué
68,23,Bolivia,Curacaví
68,68,Bolivia,María Pinto
68,808,Bolivia,San Pedro
68,147,Bolivia,Talagante
68,46,Bolivia,El Monte
68,467,Bolivia,Isla de Maipo
68,79,Bolivia,Padre Hurtado
68,115,Bolivia,Peñaflor
142,3174,Asia,Santiago
142,42,Asia,Cerrillos
142,47,Asia,Cerro Navia
142,58,Asia,Conchalí
142,99,Asia,El Bosque
142,229,Asia,Estación Central
142,109,Asia,Huechuraba
142,96,Asia,Independencia
142,73,Asia,La Cisterna
142,263,Asia,La Florida
142,63,Asia,La Granja
142,53,Asia,La Pintana
142,117,Asia,La Reina
142,1782,Asia,Las Condes
142,673,Asia,Lo Barnechea
142,23,Asia,Lo Espejo
142,22,Asia,Lo Prado
142,129,Asia,Macul
142,449,Asia,Maipú
142,395,Asia,Ñuñoa
142,38,Asia,Pedro Aguirre Cerda
142,150,Asia,Peñalolén
142,643,Asia,Providencia
142,147,Asia,Pudahuel
142,144,Asia,Quilicura
142,90,Asia,Quinta Normal
142,414,Asia,Recoleta
142,41,Asia,Renca
142,73,Asia,San Joaquín
142,145,Asia,San Miguel
142,43,Asia,San Ramón
142,468,Asia,Vitacura
142,359,Asia,Puente Alto
142,6,Asia,Pirque
142,6,Asia,San José de Maipo
142,157,Asia,Colina
142,76,Asia,Lampa
142,4,Asia,Tiltil
142,207,Asia,San Bernardo
142,48,Asia,Buin
142,10,Asia,Calera de Tango
142,32,Asia,Paine
142,34,Asia,Melipilla
142,2,Asia,Alhué
142,9,Asia,Curacaví
142,3,Asia,María Pinto
142,48,Asia,Talagante
142,19,Asia,El Monte
142,14,Asia,Isla de Maipo
142,46,Asia,Padre Hurtado
142,33,Asia,Peñaflor
150,1052,Europa,Santiago
150,30,Europa,Cerrillos
150,9,Europa,Cerro Navia
150,26,Europa,Conchalí
150,28,Europa,El Bosque
150,105,Europa,Estación Central
150,194,Europa,Huechuraba
150,90,Europa,Independencia
150,82,Europa,La Cisterna
150,316,Europa,La Florida
150,29,Europa,La Granja
150,13,Europa,La Pintana
150,410,Europa,La Reina
150,2888,Europa,Las Condes
150,923,Europa,Lo Barnechea
150,12,Europa,Lo Espejo
150,22,Europa,Lo Prado
150,170,Europa,Macul
150,181,Europa,Maipú
150,1140,Europa,Ñuñoa
150,31,Europa,Pedro Aguirre Cerda
150,271,Europa,Peñalolén
150,1737,Europa,Providencia
150,59,Europa,Pudahuel
150,65,Europa,Quilicura
150,44,Europa,Quinta Normal
150,107,Europa,Recoleta
150,18,Europa,Renca
150,56,Europa,San Joaquín
150,183,Europa,San Miguel
150,16,Europa,San Ramón
150,1544,Europa,Vitacura
150,150,Europa,Puente Alto
150,44,Europa,Pirque
150,29,Europa,San José de Maipo
150,460,Europa,Colina
150,92,Europa,Lampa
150,19,Europa,Tiltil
150,91,Europa,San Bernardo
150,88,Europa,Buin
150,18,Europa,Calera de Tango
150,46,Europa,Paine
150,66,Europa,Melipilla
150,3,Europa,Alhué
150,47,Europa,Curacaví
150,3,Europa,María Pinto
150,3,Europa,San Pedro
150,57,Europa,Talagante
150,18,Europa,El Monte
150,28,Europa,Isla de Maipo
150,32,Europa,Padre Hurtado
150,36,Europa,Peñaflor
170,20363,Colombia,Santiago
170,1702,Colombia,Cerrillos
170,1581,Colombia,Cerro Navia
170,1805,Colombia,Conchalí
170,1126,Colombia,El Bosque
170,8529,Colombia,Estación Central
170,1100,Colombia,Huechuraba
170,6968,Colombia,Independencia
170,2152,Colombia,La Cisterna
170,3741,Colombia,La Florida
170,1194,Colombia,La Granja
170,912,Colombia,La Pintana
170,473,Colombia,La Reina
170,2179,Colombia,Las Condes
170,907,Colombia,Lo Barnechea
170,636,Colombia,Lo Espejo
170,2226,Colombia,Lo Prado
170,1779,Colombia,Macul
170,3678,Colombia,Maipú
170,2633,Colombia,Ñuñoa
170,1019,Colombia,Pedro Aguirre Cerda
170,2359,Colombia,Peñalolén
170,1111,Colombia,Providencia
170,2414,Colombia,Pudahuel
170,2285,Colombia,Quilicura
170,5160,Colombia,Quinta Normal
170,2763,Colombia,Recoleta
170,1493,Colombia,Renca
170,1571,Colombia,San Joaquín
170,3914,Colombia,San Miguel
170,536,Colombia,San Ramón
170,518,Colombia,Vitacura
170,3824,Colombia,Puente Alto
170,51,Colombia,Pirque
170,105,Colombia,San José de Maipo
170,2889,Colombia,Colina
